id,title,release_date,popularity,vote_average,vote_count,genres,runtime,budget,revenue,production_countries,release_year,release_month,release_day,roi,vote_average_log,vote_count_log,budget_log,revenue_log,roi_log,language_name
769,GoodFellas,1990-09-12,14.2448,8.5,13438,"['Drama', 'Crime']",145,25000000.0,46800000.0,['United States of America'],1990,9,12,0.872,2.2512917986064953,9.505916206547065,17.034386422832473,17.661393782255395,0.6270073780554003,English
162,Edward Scissorhands,1990-12-07,12.5366,7.718,13181,"['Fantasy', 'Drama', 'Romance']",105,20000000.0,86024005.0,['United States of America'],1990,12,7,3.30120025,2.1653898538162006,9.486607541612665,16.811242881518265,18.270136954800474,1.458894111657547,English
114,Pretty Woman,1990-03-23,11.8131,7.463,8535,"['Romance', 'Comedy']",120,14000000.0,463406268.0,['United States of America'],1990,3,23,32.100447714285714,2.1357037206879688,9.05204779298159,16.454567959008102,19.95411469814036,3.499546808402891,English
242,The Godfather Part III,1990-12-25,12.4323,7.417,6430,"['Crime', 'Drama', 'Thriller']",162,54000000.0,136766062.0,['United States of America'],1990,12,25,1.5327048518518518,2.130253470229439,8.768885326134862,17.804494623047066,18.733782454891035,0.9292878430507308,English
251,Ghost,1990-07-13,10.4482,7.226,5718,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",126,22000000.0,505000000.0,['United States of America'],1990,7,13,21.954545454545453,2.1072998698082324,8.651549243915316,16.906553056777135,20.040068989219833,3.133515975917044,English
169,Predator 2,1990-11-21,9.1657,6.3,3473,"['Science Fiction', 'Action', 'Thriller']",108,35000000.0,57120318.0,['United States of America'],1990,11,21,0.6320090857142857,1.9878743481543455,8.153061946801051,17.370858648025116,17.8606704607139,0.48981182375330906,English
861,Total Recall,1990-06-01,7.363,7.309,6001,"['Action', 'Adventure', 'Science Fiction']",113,65000000.0,261317921.0,['United States of America'],1990,6,1,3.0202757076923077,2.1173392646828444,8.699848026000312,17.989897843244528,19.381248315968882,1.3913504842822162,English
581,Dances with Wolves,1990-03-30,6.8152,7.845,4387,"['Adventure', 'Drama', 'Western']",181,22000000.0,424208848.0,"['United Kingdom', 'United States of America']",1990,3,30,18.282220363636362,2.1798523276117487,8.38662882139512,16.906553056777135,19.865736460320466,2.959183446640548,English
1573,Die Hard 2,1990-07-03,6.2994,6.958,6011,"['Action', 'Thriller']",124,70000000.0,240031094.0,['United States of America'],1990,7,3,2.4290156285714284,2.074177712004737,8.701512750872865,18.064005814299346,19.296279035413768,1.2322732312340094,English
39323,Dragon Ball Z: Bardock - The Father of Goku,1990-10-17,6.1704,7.547,730,"['Animation', 'Action', 'Science Fiction', 'Drama', 'Fantasy']",48,,,['Japan'],1990,10,17,,2.1455803441838808,6.594413459749778,,,,Japanese
928,Gremlins 2: The New Batch,1990-06-15,6.1269,6.516,2699,"['Comedy', 'Horror', 'Fantasy']",106,50000000.0,41482207.0,['United States of America'],1990,6,15,-0.17035586,2.017034081551219,7.90100705199242,17.72753358339242,17.540775170381426,0.0,English
9362,Tremors,1990-01-19,5.8103,6.9,3351,"['Horror', 'Action', 'Science Fiction', 'Comedy']",96,11000000.0,48572000.0,['United States of America'],1990,1,19,3.415636363636364,2.066862759472976,8.117312461601975,16.213405921671733,17.69855781174384,1.485151960393202,English
9322,La Femme Nikita,1990-02-21,5.1263,7.092,2009,"['Action', 'Thriller']",117,8538703.0,5000000.0,"['France', 'Italy']",1990,2,21,-0.4144309738844412,2.090875919305499,7.605890001053122,15.960119797808298,15.424948670398354,0.0,French
196,Back to the Future Part III,1990-05-25,6.3088,7.489,10904,"['Adventure', 'Comedy', 'Science Fiction']",119,40000000.0,244527583.0,['United States of America'],1990,5,25,5.113189575,2.1387712077558305,9.29697667863573,17.50439003707821,19.314838678511638,1.8104486623439107,English
60898,Erotic Ghost Story,1990-05-19,5.3305,6.2,86,"['Fantasy', 'Drama', 'Horror']",88,,,['Hong Kong'],1990,5,19,,1.9740810260220096,4.465908118654584,,,,Chinese(Simplified)
14864,The Hot Spot,1990-10-12,5.6902,6.3,278,"['Romance', 'Crime', 'Thriller']",130,,1293976.0,['United States of America'],1990,10,12,,1.9878743481543455,5.631211781821365,,14.073230979541895,,English
2119,Days of Thunder,1990-06-27,5.1291,6.368,1549,"['Adventure', 'Action', 'Drama']",107,60000000.0,157920733.0,['United States of America'],1990,6,27,1.6320122166666666,1.9971462989530058,7.346010209913293,17.909855136853043,18.877603781561643,0.9677486550429775,English
11186,Child's Play 2,1990-11-09,5.5854,6.323,1897,"['Horror', 'Thriller']",84,13000000.0,35763605.0,['United States of America'],1990,11,9,1.7510465384615386,1.9910200800789328,7.5485559791698735,16.380459992348886,17.39244134211186,1.0119813987246618,English
